name,safe_name,tags,nodes,edges,initial_crossings
karate/78,karate__78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,66
lesmis,lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,744
london_transport,london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,64
macaque_neural,macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,2649
malaria_genes/HVR_3,malaria_genes__HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,74
marvel_partnerships,marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,18
mist/ppi_zebrafish,mist__ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,110
mist/genetic_mouse,mist__genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,12
montreal,montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,172
new_guinea_tribes,new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,113
november17,november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,101
plant_pol_vazquez/All sites pooled,plant_pol_vazquez__All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,249
polbooks,polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,2415
revolution,revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,17
terrorists_911,terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,159
train_terrorists,train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,1077
ugandan_village/friendship-1,ugandan_village__friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,7403
ugandan_village/friendship-2,ugandan_village__friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,17589
ugandan_village/friendship-5,ugandan_village__friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,17681
ugandan_village/friendship-6,ugandan_village__friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,16132
ugandan_village/friendship-7,ugandan_village__friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,28057
ugandan_village/friendship-12,ugandan_village__friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,26517
ugandan_village/friendship-13,ugandan_village__friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,26669
ugandan_village/friendship-14,ugandan_village__friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,9686
ugandan_village/friendship-15,ugandan_village__friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,1488
ugandan_village/friendship-17,ugandan_village__friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,2309
ugandan_village/health-advice_1,ugandan_village__health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,4416
ugandan_village/health-advice_2,ugandan_village__health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,3548
ugandan_village/health-advice_3,ugandan_village__health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,17091
ugandan_village/health-advice_5,ugandan_village__health-advice_5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",166,386,3269
ugandan_village/health-advice_6,ugandan_village__health-advice_6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",131,284,1801
ugandan_village/health-advice_7,ugandan_village__health-advice_7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,473,8871
ugandan_village/health-advice_9,ugandan_village__health-advice_9,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",173,623,12926
ugandan_village/health-advice_10,ugandan_village__health-advice_10,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",204,820,24356
ugandan_village/health-advice_11,ugandan_village__health-advice_11,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",234,527,5444
ugandan_village/health-advice_12,ugandan_village__health-advice_12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",218,534,6380
ugandan_village/health-advice_13,ugandan_village__health-advice_13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",157,286,1074
ugandan_village/health-advice_14,ugandan_village__health-advice_14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,326,3059
ugandan_village/health-advice_15,ugandan_village__health-advice_15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",117,196,374
ugandan_village/health-advice_16,ugandan_village__health-advice_16,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",349,862,20272
ugandan_village/health-advice_17,ugandan_village__health-advice_17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",63,146,447
urban_streets/bologna,urban_streets__bologna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",541,771,9
urban_streets/brasilia,urban_streets__brasilia,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",179,230,4
urban_streets/irvine2,urban_streets__irvine2,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",178,189,6
urban_streets/london,urban_streets__london,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",488,729,4
urban_streets/los-angeles,urban_streets__los-angeles,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",240,339,10
urban_streets/new-delhi,urban_streets__new-delhi,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",252,328,2
urban_streets/new-york,urban_streets__new-york,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",248,418,56
urban_streets/savannah,urban_streets__savannah,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",584,958,2
urban_streets/vienna,urban_streets__vienna,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",467,691,4
urban_streets/walnut-creek,urban_streets__walnut-creek,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",169,196,6
windsurfers,windsurfers,"[""Offline"", ""Social"", ""Weighted""]",43,336,4554
zebras,zebras,"[""Animal"", ""Metadata"", ""Social"", ""Unweighted""]",23,105,586
